Year,Distance,Zone,Salinity
1981,2.191 ,ph,0.70 
1981,3.016 ,ph,0.90 
1981,3.931 ,ph,0.90 
1981,5.010 ,su,0.74 
1981,6.042 ,su,0.80 
1981,6.912 ,su,0.54 
1981,7.975 ,su,1.02 
1981,8.753 ,sp,1.09 
1981,10.031 ,sp,0.99 
1981,10.648 ,sp,0.85 
1981,11.610 ,sp,0.83 
1981,12.495 ,sp,0.78 
1986,2.191 ,ph,0.63 
1986,3.016 ,ph,0.56 
1986,3.931 ,ph,0.45 
1986,5.010 ,su,0.72 
1986,6.042 ,su,0.80 
1986,6.912 ,su,0.55 
1986,7.975 ,su,1.05 
1986,8.753 ,sp,1.09 
1986,10.031 ,sp,0.90 
1986,10.648 ,sp,0.81 
1996,3.269 ,ph,0.43 
1996,4.675 ,su,0.58 
1996,6.609 ,su,0.97 
1996,8.399 ,sp,1.14 
1996,10.132 ,sp,0.88 
2004,11.528 ,sp,0.43 
2004,11.224 ,sp,0.42 
2004,10.814 ,sp,0.41 
2004,10.858 ,sp,1.00 
2004,10.310 ,sp,0.90 
2004,9.947 ,sp,1.00 
2004,9.679 ,sp,1.12 
2004,9.407 ,sp,1.00 
2004,9.029 ,sp,0.60 
2006,10.178 ,sp,0.85 
2006,9.283 ,sp,0.79 
2006,7.381 ,su,0.96 
2006,5.458 ,su,0.67 
2006,4.073 ,ph,0.68 
2007,11.537 ,sp,0.72 
2007,11.323 ,sp,0.73 
2007,10.885 ,sp,0.82 
2007,10.303 ,sp,0.85 
2007,10.001 ,sp,1.16 
2007,9.802 ,sp,1.49 
2007,9.367 ,sp,1.61 
2007,8.895 ,sp,1.32 
2007,8.452 ,sp,1.13 
2007,7.065 ,su,1.25 
2007,5.617 ,su,0.79 
2007,5.039 ,su,0.51 
2007,3.320 ,ph,0.26 
2008,11.099 ,sp,0.46 
2008,10.859 ,sp,0.40 
2008,10.435 ,sp,0.83 
2008,10.048 ,sp,1.00 
2008,9.850 ,sp,0.49 
2008,6.996 ,su,0.84 
2008,4.642 ,su,0.35 
2008,2.310 ,ph,0.01 
2011,10.320 ,sp,0.85 
2011,7.988 ,su,0.96 
2011,3.771 ,ph,0.68 
2011,11.662 ,sp,1.35 
2011,11.373 ,sp,1.42 
2011,11.057 ,sp,0.70 
2011,10.697 ,sp,2.30 
2011,10.379 ,sp,1.70 
2011,9.943 ,sp,1.82 
2011,9.663 ,sp,2.00 
2011,8.220 ,su,0.70 
2011,5.005 ,su,0.27 
2011,4.848 ,su,0.30 
2011,4.659 ,su,0.32 
2011,11.318 ,sp,0.39 
2011,10.311 ,sp,0.55 
2011,8.385 ,sp,0.32 
2011,6.470 ,su,0.24 
2012,11.435 ,sp,0.87 
2012,11.265 ,sp,0.73 
2012,11.038 ,sp,0.65 
2012,10.767 ,sp,1.60 
2012,10.231 ,sp,0.80 
2012,9.718 ,sp,1.16 
2012,9.718 ,sp,0.40 
2012,9.313 ,sp,0.82 
2012,8.728 ,sp,0.48 
2012,8.386 ,sp,0.45 
2012,8.086 ,su,0.96 
2012,7.763 ,su,0.54 
2012,5.827 ,su,0.39 
2012,4.542 ,ph,0.35 
2012,4.329 ,ph,0.33 
2012,4.089 ,ph,0.52 
2012,2.817 ,ph,0.27 
2012,10.274 ,sp,1.22 
2012,8.482 ,sp,0.53 
2012,4.988 ,su,0.20 
2012,11.312 ,sp,0.45 
2012,11.247 ,sp,0.82 
2012,10.263 ,sp,2.29 
2012,8.359 ,sp,0.83 
2012,6.405 ,su,0.60 
2015,10.342 ,sp,0.85 
2015,9.560 ,sp,1.13 
2015,5.368 ,su,0.32 
2015,11.224 ,sp,0.59 
2015,10.021 ,sp,1.73 
2015,7.146 ,su,0.24 
2015,5.796 ,su,0.16 
2015,4.644 ,su,0.18 
2017,11.509 ,sp,0.58 
2017,10.433 ,sp,0.72 
2017,7.940 ,su,0.68 
2017,5.663 ,su,0.63 
2017,11.035 ,sp,0.79 
2017,10.546 ,sp,1.12 
2017,9.391 ,sp,0.93 
2017,8.907 ,sp,0.86 
