"Vegetation","Year","Gradient","Percent_cover"
"ph",1982,1,1
"ph",1982,2,1
"ph",1982,3,1
"ph",1982,4,1
"ph",1982,5,1
"ph",1982,6,1
"ph",1982,7,1
"ph",1982,8,1
"ph",1982,9,1
"ph",1982,10,1
"ph",1982,11,1
"ph",1982,12,1
"ph",1982,13,1
"ph",1982,14,1
"ph",1982,15,1
"ph",1982,16,1
"ph",1982,17,1
"ph",1982,18,1
"ph",1982,19,1
"ph",1982,20,1
"ph",1982,21,1
"ph",1982,22,1
"ph",1982,23,1
"ph",1982,24,1
"ph",1982,25,1
"ph",1982,26,1
"ph",1982,27,1
"ph",1982,28,1
"ph",1982,29,1
"ph",1982,30,1
"ph",1982,31,1
"ph",1982,32,1
"ph",1982,33,1
"ph",1982,34,1
"ph",1982,35,1
"ph",1982,36,1
"ph",1982,37,1
"ph",1982,38,1
"ph",1982,39,1
"ph",1982,40,1
"ph",1982,41,1
"ph",1982,42,1
"ph",1982,43,1
"ph",1982,44,1
"ph",1982,45,1
"ph",1982,46,1
"ph",1982,47,1
"ph",1982,48,1
"ph",1982,49,1
"ph",1982,50,1
"ph",1982,51,1
"ph",1982,52,1
"ph",1982,53,1
"ph",1982,54,1
"ph",1982,55,1
"ph",1982,56,1
"ph",1982,57,1
"ph",1982,58,1
"ph",1982,59,1
"ph",1982,60,1
"ph",1982,61,1
"ph",1982,62,1
"ph",1982,63,1
"ph",1982,64,1
"ph",1982,65,1
"ph",1982,66,1
"ph",1982,67,1
"ph",1982,68,1
"ph",1982,69,1
"ph",1982,70,1
"ph",1982,71,1
"ph",1982,72,1
"ph",1982,73,0.999569004531278
"ph",1982,74,0.982110733344699
"ph",1982,75,0.961559476285691
"ph",1982,76,0.960379191978341
"ph",1982,77,0.956250710515286
"ph",1982,78,0.960484340524358
"ph",1982,79,0.961567245877872
"ph",1982,80,0.945978875548095
"ph",1982,81,0.911081515325398
"ph",1982,82,0.883189995494453
"ph",1982,83,0.855091191900997
"ph",1982,84,0.829213660423805
"ph",1982,85,0.804658276456855
"ph",1982,86,0.785131694044826
"ph",1982,87,0.760731878933122
"ph",1982,88,0.7316883429803
"ph",1982,89,0.732876300252657
"ph",1982,90,0.717343139787612
"ph",1982,91,0.707911310815149
"ph",1982,92,0.716243615405683
"ph",1982,93,0.706545629469514
"ph",1982,94,0.651846173276179
"ph",1982,95,0.619675141414814
"ph",1982,96,0.599386732165279
"ph",1982,97,0.582448139268011
"ph",1982,98,0.557596874760091
"ph",1982,99,0.525679106963572
"ph",1982,100,0.499055163713718
"ph",1982,101,0.444740148812263
"ph",1982,102,0.388165361778053
"ph",1982,103,0.360499933805319
"ph",1982,104,0.345256215232425
"ph",1982,105,0.326910415171858
"ph",1982,106,0.302051603798961
"ph",1982,107,0.288740446396557
"ph",1982,108,0.2846712691027
"ph",1982,109,0.275512134349797
"ph",1982,110,0.26735803286441
"ph",1982,111,0.266583393495429
"ph",1982,112,0.268100527692092
